,product_name,product_price,product_ratings,product_ratings_num,product_link
30,"Voltas 0.8 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 103V Vectra Elite, White)","27,490",3.8 out of 5 stars,68,https://www.amazon.in/Voltas-Adjustable-103V-Vectra-Elite/dp/B0BSLKLG4L/ref=sr_1_25?keywords=Air+Conditioners&qid=1682513740&sr=8-25
31,"Carrier 1.5 Ton 3 Star AI Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling,High Density Filter, Auto Cleanser, 2023 Model,ESTER Exi - CAI18ER3R32F0,White)","34,999",4.0 out of 5 stars,819,https://www.amazon.in/Carrier-Flexicool-Inverter-Convertible-Cleanser/dp/B0BR5812CL/ref=sr_1_26?keywords=Air+Conditioners&qid=1682513740&sr=8-26
32,"Godrej 1.5 Ton 3 Star, 5-In-1 Convertible, Inverter Split AC (Copper, I-Sense Technology, 2023 Model, AC 1.5T EI 18TINV3R32-GWA /AC 1.5T EI 18TINV3R32-GWB, White)","32,490",3.7 out of 5 stars,403,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTExODEwNzM1MDc1NTczOjE2ODI1MTM3NDA6c3BfbXRmOjIwMTA3MTM5NzY0Mjk4OjowOjo&url=%2FGodrej-Convertible-1-5T-18TINV3R32-GWA-18TINV3R32-GWB%2Fdp%2FB0BN37L5KM%2Fref%3Dsr_1_27_sspa%3Fkeywords%3DAir%2BConditioners%26qid%3D1682513740%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
33,"Godrej 1.5 Ton 5 Star, 5-in-1 Convertible Cooling, Inverter Split AC (Copper, Heavy Duty Cooling At 52°C, Anti-dust Filter, 2023 Model, AC 1.5T EI 18IINV5R32 WWR, White)","37,490",4.1 out of 5 stars,33,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTExODEwNzM1MDc1NTczOjE2ODI1MTM3NDA6c3BfbXRmOjIwMTA3MTM5NzY0NDk4OjowOjo&url=%2FGodrej-Convertible-AC-1-5T-18IINV5R32-WWR%2Fdp%2FB0BQM22JRX%2Fref%3Dsr_1_28_sspa%3Fkeywords%3DAir%2BConditioners%26qid%3D1682513740%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
34,"Lloyd 1.0 Ton 5 Star Inverter Split AC (5 in 1 Convertible, Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White with Chrome Deco Strip, GLS12I5FWBEV)","34,000",4.1 out of 5 stars,195,https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS12I5FWBEV/dp/B0BRKXFVVJ/ref=sr_1_29?keywords=Air+Conditioners&qid=1682513740&sr=8-29
35,"Samsung 1 Ton 3 Star Inverter Split Ac (Copper, Convertible 5-In-1 Cooling Mode, Easy Filter Plus (Anti-Bacteria), 2023 Model Ar12Cylzabe White)","31,999",3.9 out of 5 stars,78,https://www.amazon.in/Samsung-Inverter-Convertible-Anti-Bacteria-Ar12Cylzabe/dp/B0BRQ9VCT7/ref=sr_1_30?keywords=Air+Conditioners&qid=1682513740&sr=8-30
36,"Haier 1.5 Ton 3 Star Inverter Split AC (Copper, Antibacterial Filter, 2023 Model, HSU17V-TMS3BE-INV, White)","32,990",3.9 out of 5 stars,313,https://www.amazon.in/Haier-Inverter-Copper-Antibacterial-HSU17V-TMS3BE-INV/dp/B0BSFRD38D/ref=sr_1_31?keywords=Air+Conditioners&qid=1682513740&sr=8-31
37,"Voltas 1.5 Ton 5 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model,185V Vectra Elite, White)","40,950",3.9 out of 5 stars,894,https://www.amazon.in/Voltas-Adjustable-Inverter-Copper-VECTRA/dp/B0BBFSZNCT/ref=sr_1_32?keywords=Air+Conditioners&qid=1682513740&sr=8-32
38,"Blue Star 1.5 Ton 5 Star Convertible 5 in 1 Cooling Inverter Split AC (Copper, 4 Way Swing, Stabalizer Free Operation, Dust Filter, Smart Ready, Blue Fins, Self Diagnosis, 2023Model, IC518YNU, White)","42,999",4.0 out of 5 stars,535,https://www.amazon.in/Blue-Star-Convertible-Stabalizer-IC518YNU/dp/B0BT117FDS/ref=sr_1_33?keywords=Air+Conditioners&qid=1682513740&sr=8-33
39,"Daikin 1 Ton 5 Star Inverter Split AC (Copper, PM 2.5 Filter, 2022 Model, MTKM35U, White)","37,999",3.8 out of 5 stars,128,https://www.amazon.in/Daikin-Inverter-Copper-Filter-MTKM35U/dp/B09R4RXLT4/ref=sr_1_34?keywords=Air+Conditioners&qid=1682513740&sr=8-34
